;Datos1;Datos2
0;21.71655369;12.11733942
1;24.06503221;12.79535157
2;26.72814719;11.98761414
3;28.80753796;10.0139828
4;24.66063764;8.685815186
5;26.27301834;9.465974569
6;25.88784374;11.87921893
7;24.22532053;7.897626512
8;26.04619321;10.09154054
9;24.18410998;9.960867561
10;23.58343019;9.47609877
11;24.74494709;11.6927394
12;26.71223011;12.09471581
13;26.20756734;10.94073449
14;22.93936354;10.25831625
15;22.57621526;10.51720488
16;25.56385514;10.10886709
17;23.50286755;8.30626381
18;29.52973067;8.320333231
19;26.04556158;10.95080823
20;24.41639725;9.068649028
21;24.77858898;7.135058419
22;26.00248934;10.79974272
23;27.46443596;10.03679597
24;27.82570913;12.50364411
25;26.71827038;13.22817379
26;25.35040189;12.74312215
27;25.0169006;10.28121695
28;23.81274545;12.28313571
29;25.13851537;9.868746067
30;26.45172583;14.00488731
31;26.29283052;11.59956025
32;23.84019888;9.32613096
33;25.06731199;9.331003422
34;26.13022297;10.48336071
35;26.03109646;11.67726374
36;26.05314848;9.132876999
37;26.24455425;10.00463159
38;23.81061593;9.639661611
39;22.0320687;11.06100168
40;25.93739609;9.727985889
41;21.11464361;10.804951
42;25.1446669;9.954517973
43;25.1927225;10.26411577
44;23.89082771;9.882479371
45;21.7769254;12.15425639
46;24.77137273;12.57131299
47;23.00922298;11.078061
48;24.27337139;9.244317485
49;23.69618294;15.39098599
50;23.38414603;8.17861512
51;24.9697056;8.667617843
52;25.95942136;9.544524276
53;27.05274622;13.23059937
54;24.37409087;10.63920532
55;25.66693021;10.0202211
56;24.69051937;10.80245632
57;23.79498471;10.10212618
58;26.0967451;9.365948335
59;27.08245613;6.84616933
60;25.30447979;11.73035091
61;26.59806124;10.74291971
62;28.05065795;7.019433624
63;28.95579509;11.56666429
64;23.9506298;9.600786551
65;22.08548;10.01082074
66;26.5372783;8.276493903
67;21.74843949;11.52897854
68;23.97257864;5.505987981
69;25.8984507;10.86594942
70;23.46093425;10.89005512
71;23.37891955;9.161707759
72;23.5971712;8.974714748
73;24.40738262;11.63688233
74;21.79540849;11.19095169
75;24.38675362;11.88549171
76;21.18468793;9.736389172
77;24.94504425;10.75636288
78;26.7563146;8.403660151
79;26.50060054;8.819049708
80;22.49004135;10.84820233
81;24.63108375;7.61435972
82;27.09110961;6.574105976
83;24.2481723;10.75438327
84;24.91868559;8.06491408
85;26.48142626;11.33417863
86;26.11827196;9.160543545
87;23.39893576;7.645748958
88;25.16589745;11.18554
89;22.68609546;8.207733587
90;24.61343415;11.45722208
91;27.64955034;7.752794059
92;25.93101463;11.27747115
93;19.45768104;13.68846081
